;;;;x
desc_ev_20000313;A political book has been published by German philosopher Johann Gottlieb Dichte that advocates German nationalism. Evoking a sense of German distinctiveness in language, tradition and literature that composed a common identity.;x;;
ev_20000314;Finland Separates!;x;;
desc_ev_20000314;Finland, which belonged to us for many years have separated, and we could not do anything against it, since the Russians automaticly proclaimed their support for the Finnish freedom, basicly establishing a protectorate.;x;;
ev_20000315;Bolivia Declares Independence;x;;
desc_ev_20000315;Bolivia, one of our western colonies in South America has declared independence under a militaristic junta. Our current economical state may or may not allow us to retake it, but we must try.;x;;
ev_20000316;Ecuador declares independence!;x;;
desc_ev_20000316;Ecuador, one of our smaller colonies declared independence in South America as a free democracy, capturing our local administrative buildings. We have to try and retake them before others follow.;x;;
ev_20000317;Royal Opera House Opens;x;;
desc_ev_20000317;The Royal Opera House has been opened at the site of the original opera house of 1732, which was burnt down later. It became the home of the Royal Opera, the Royal Ballet and the Orchestra of the Royal Opera House.;x;;
ev_20000318;Venezuela Declares Independence!;x;;
desc_ev_20000318;The people of Venezuela had enough of our leadership and chose to declare independence with a military junta to lead the country. We must retake them, before we completely lose our control over South America!;x;;
ev_20000319;Fur Elise Composed;x;;
desc_ev_20000319;Ludwig van Beethoven, a great composer in our service has composed his so far most popular composition for solo piano, titled For Elise.;x;;
ev_20000320;Mexico Declares Independence;x;;
desc_ev_20000320;The people of Mexico, including the Central American provinces have declared independence from our rule, creating their own government. We must try and retake the provinces, before they can get more colonies to join their cause.;x;;
ev_20000321;Chile Forms a Junta;x;;
desc_ev_20000321;We recieved news that the people in Chile have created a military junta. They did not try to declare their independence yet, but they might do any time now. We should station more soldiers there to contain them.;x;;
ev_20000322;The First Oktoberfest;x;;
desc_ev_20000322;During a recen royal marriage celebration every citizen of Munich were invited to attend the festivities held before the city gates. This event was called Theresienwiese, in honor of the Crown Princess. This event was so popular that it was decided to be held every year at the same time.;x;;
ev_20000323;Buenos Aires Riots;x;;
desc_ev_20000323;Unrest grows in the city of Buenos Aires following the recent revolutions in the other Spanish colonies. We can only hope that these mostly peaceful riots won't turn into another open rebellion.;x;;
ev_20000324;Paraguay Declares Independence;x;;
desc_ev_20000324;The state of Paraguay in the middle of South America has declared independence following the examples of the other nearby colonies. To remain true to the crown we must try to fight and take them back.;x;;
ev_20000326;Miguel Hidalgo y Costilla Executed;x;;
desc_ev_20000326;A Jesuit-trained Mexican priest, leader of the Mexican Independence Movement has been caught in a trap of ours, his regiment killed, and now on this very day he was executed by a firing squad.;x;;
ev_20000327;Freedom of Expression in Argentine!;x;;
desc_ev_20000327;The new government of Argentina has declared complete freedom of expression. This almost automaticly led to thousands of anti-Spanish and revolutionary articles to flood the local presses.;x;;
ev_20000328;Luddite Attacks;x;;
desc_ev_20000328;The luddites, a movement who vowed to destroy every machine that takes away people's jobs has attacked a wool processing factory in West Yorkshire to start fulfilling their promise. We really should consider creating more factories for the people who became unemployed because of the automatization.;x;;
ev_20000329;Caracas Destroyed!;x;;
desc_ev_20000329;The city of Caracas has been destroyed by a recent earthquake, leaving almost no building standing. Many people died, but the casulties were way lower than the damage caused to the city itself.;x;;
ev_20000330;Pride and Prejudice Published;x;;
desc_ev_20000330;Jean Austen, a female author has published a new book, that immediatly became best seller. It is a novel of manners, morality in the society of the landed gentry of the present day's England.;x;;
ev_20000331;Argentina Declares Independence;x;;
desc_ev_20000331;Argentina, with its newly formed government has declared independence aswell, following the events of the riots in Buenos Aires. We shall do everything to reclaim our lands, while we still can.;x;;
ev_20000332;The Kalmar Union Ends;x;;
desc_ev_20000332;The Kalmar Union has ended after many years of its existence. Norwey was released as a separate, independent nation, which lasted only for a few days, as soon Sweden invaded, vassalizing the country.;x;;
ev_20000334;Second Serbian Uprising;x;;
desc_ev_20000334;The Serbian unrest has grown again, following the other revolutions in the world. We watch as the firstly peaceful riots turn into a bloody conflict. The only thing we can do to keep these lands is to establish a free state, belonging to us to calm the Serb mob.;x;;
ev_20000335;Chile Proclaims Independence;x;;
desc_ev_20000335;After its junta being formed Chile has also declared its own government, leaving Spanish rule. We may try to retake these colonies aswell, but surely the local unrest would be even higher afterwards.;x;;
ev_20000336;New Flag;x;;
desc_ev_20000336;We have finally adopted a flag to represent our country. With thirteen stripes and stars equal to the amount of states belonging to us. Our people shall be proud of this new national symbol.;x;;
ev_20000337;Gran Colombia Formed;x;;
desc_ev_20000337;Sim?n Bolivar, the leading revolutionary who helped many nation to freedom has created the nation of Gran Colombia uniting the newly freed Colombia with our nation of Venezuela. Spain won't be able to stop us.;x;;
ev_20000338;Florida Sold;x;;
desc_ev_20000338;With our colonies abandoning us we could only try and protect what little we have. The riots in Florida have been beaten down for now, but we can never be sure, so we chose to sell it instead to the USA in return of not attacking our holdings in Texas.;x;;
ev_20000339;Burlington Arcade Opens;x;;
desc_ev_20000339;A new shopping lane, the Burlington Arcade has opened in London visited by mostly the royal members and the nobility, allowing them to forget their everyday problems and focus on buying new things of their taste.;x;;
ev_20000340;Venus de Milo Discovered;x;;
desc_ev_20000340;An ancient statue has been discovered on the isle of Milos of the ancient greek godess, Venus. It shall be put on display once it was closely inspected by our scientists and historians.;x;;
ev_20000341;Greek War of Independence;x;;
desc_ev_20000341;With the growing nationalism in the world the greeks have also formed their own movement, declaring independence from our authority and gathering their citizens in order to fight our armies back. Our reconquest shall be swift.;x;;
ev_20000342;Peru Declares Independence;x;;
desc_ev_20000342;The colony of Peru has declared independence from our nation, overthrowing the local governor and forming their own government. We shall try to retake them by force, but our holdings in the Americas are shrinking rapidly.;x;;
ev_20000343;Central American States Gain Local Authority;x;;
desc_ev_20000343;The mini states of Central America have been granted with local authority in order to keep them with us for now.;x;;
ev_20000344;Panama Declares Independence;x;;
desc_ev_20000344;The colony of Panama has declared independence, but instead of forming a local government they chose to join the existing Gran Colombian Union in order to protect themself better, which they might not be able to do themselves. ;x;;
ev_20000345;Dominican Republic Declares Independence;x;;
desc_ev_20000345;The Dominican Republic has declared independence in the eastern part of Hispaniola. With our colonies shrinking rapidly we still should be able to retake them to keep a footholding in South America.;x;;
ev_20000346;Dominican Republic Invaded;x;;
desc_ev_20000346;With the neighbouring Spanish colony rebelling this is the best possible time for us to gain some more land, and the total control of Hispaniola. It should be easy to take them over, since they are still not that well organized, and the Spanish forces are still far away.;x;;
ev_20000347;Brazil Declares Independence;x;;
desc_ev_20000347;With the growing nationalism in the Americas our colony of Brazil has also declared its independence from us with the leadership of a self-proclaimed emperor, Peter I. We should try our best and retake what is de jure ours.;x;;
ev_20000349;Empire Ends;x;;
desc_ev_20000349;With the death of our emperor who didn't appoint a heir we can only do one thing to avoid falling into an inner conflict, we shall declare a democracy with strong centralized, presdential leadership.;x;;
ev_20000350;Central America Declares Independence;x;;
desc_ev_20000350;The United States of Central America, a coalition of the Central American mini states have declared their own government and independence from us and any other power. As we previously already given them the possibility of local authority we do not wish to start a war for those mostly useless lands.;x;;
ev_20000351;Bolivar Proclaimed Dictator;x;;
desc_ev_20000351;Bolivar, the liberator of most South American nations has been proclaimed the dictator of our country, to lead it to a better future. He was relunctant at first, but he accepted it after all to the joy of our people.;x;;
ev_20000352;New Holland Renamed;x;;
desc_ev_20000352;With the continent of New Holland mostly under our supervision we chose to follow an older plan to rename the continent into something more distinctive, Australia.;x;;
ev_20000353;Uruguay Secedes;x;;
desc_ev_20000353;The people of Uruguay have chosen to secede from our nation and try to take part in the world politics on their own. Of course we do not wish to go into war so early in our free nations history, so we decided to let them go freely, for now.;x;;
ev_20000355;First Railway Opens;x;;
desc_ev_20000355;After the perfection of the steam engine and the creation of steel that could support the weight of a so called locomotive, a cart moved by a steam engine on set steel tracks we could succesfully create the very first public, mainly freight railroad in the history, connecting Colliery to a river port.;x;;
ev_20000357;Menai Suspension Bridge Complete;x;;
desc_ev_20000357;A bridge connecting the island of Anglesey and Wales has been needed for a long time, but since this location was heavy with sea traffic we could not construct a bridge until now, with the invention of suspension bridges, from which one of the first ones has been built here.;x;;
ev_20000358;Shikshapatri Written by Swaminarayan;x;;
desc_ev_20000358;The Shikshapatri, a religious text of two hundred and twelve verses has been completed in Sanskrit by Bhangwan Swaminarayan, that is considered to be a key scripture of the mentioned holy man's followers and the basis of the sect. It is a detailed text about the ways of living a spiritually uplifting life.;x;;
ev_20000359;New Drilling Methods;x;;
desc_ev_20000359;Following our empire's loss of power the sultan of our nation decided to reform our most elite unit, the Janissaries in a Western European manner. This allowed us to regain some of our lost respect and fear from the bordering nations.;x;;
ev_20000360;Cisplatine War;x;;
desc_ev_20000360;After being released peacefully by Brazil they went against their promise and attacked us. Luckily the neighbouring country of Argentina has came to our aid, starting the so called Cisplatinate War.;x;;
ev_20000361;Fountain Pen invented;x;;
desc_ev_20000361;A new tool to make writing easier, the fountain pen has been invented by a Romanian inventor, called Petrarche Poenaru. Of course this new invention was instantly given royal patent and was started to be mass produced by factories and applied to administrative useage.;x;;
ev_20000362;Great Fire of Turku;x;;
desc_ev_20000362;The city of Turku has been completely destroyed, killing a large portion of the local residents by a fire unlike any before. We could do nothing as it spread to every district, nothing could stop it at all. May God have mercy on the victims' souls.;x;;
ev_20000363;Typhoon Strikes Japan;x;;
desc_ev_20000363;A larger typhoon has reached our shores today, killing many people and destroying farms and houses aswell. Luckily it was a mostly rural place, but the damage is still very high.;x;;
ev_20000364;Greece Granted Autonomy;x;;
desc_ev_20000364;Following the unsuccesful war for freedom, under the pressure of the European nation we had no choice but to give Greece local autonomy and a separate government, while still holding them as a vassal.;x;;
ev_20000365;Webster-Hayne Debate;x;;
desc_ev_20000365;"A debate took place today between Senator Daniel Webster of Massachusetts and Senator Robert Y. Hayne of South Carolina on the topic of protectionist tariffs. The heated speeches between Webster and Hayne themselves were unplanned, and stemmed from debate over a resolution by Connecticut Senator Samuel A. Foot calling for the temporary suspension of further land surveying until land already on the market was sold (this would effectively stop the introduction of new lands onto the market). Webster's ""Second Reply to Hayne"" was generally regarded as ""the most eloquent speech ever delivered in Congress."" ";x;;
ev_20000366;Ecuador Separates;x;;
desc_ev_20000366;While our coalition has served its pupose to keep Spain from regaining its territories from us, the people of Ecuador chose not to continue its membership in it. It could be because of any reasons, but we must accept their decision and let them go as a free state.;x;;
ev_20000367;First Constitution;x;;
desc_ev_20000367;Now, that we succesfully separated from Spain we can concentrate on stabilizing the country, and the first step towards it shall be to create our first constitution based on the modern European thoughts, creating a free democracy.;x;;
ev_20000368;Foreign Legion Founded;x;;
desc_ev_20000368;With our armies mostly tied down in Europe we have lesser power to project to our colonies leading to unrest, as they try following the way of the Spanish colonies. But we'll have none from that, so we set up a new army, the Foreign Legion to be recruited from any non-French citizen, trained and sent off to our colonies to keep up the peace.;x;;
ev_20000369;Bosnian Rebellion;x;;
desc_ev_20000369;The Bosnians, following the new nationalistic thoughts have risen up like the Serbians and the Greeks before to gain their independence, of course this is against our interests so we must reclaim our lands before some Western power chose to support their cause.;x;;
ev_20000370;Cholera Outbreak in London;x;;
desc_ev_20000370;A disease called cholera has started spreading in the city of London killing many people, but luckily nowhere near what the plague did, thanks to the modern medications and the somewhat better standard of living.;x;;
ev_20000371;Vom Kriege Published;x;;
desc_ev_20000371;Carl von Clausewitz, a strategist and soldier of our nation has written a book regarding militar tactics that has been published now, after his death. It is called Vom Kriege and it shall become a standard in the officer schools.;x;;
ev_20000372;Slavery Abolished;x;;
desc_ev_20000372;Following the ideals of freedom we have completely abolished slavery and freeing every slave between our borders. From now on we will be able to force our views on other nations who are still stuck with the old ways of slavery.;x;;
ev_20000373;Zollverein;x;;
desc_ev_20000373;A tariff-free union has been created between the cultural borders of Germany by us, allowing our influence to spread to the german-speaking states, getting closer to a united german state.;x;;
ev_20000374;Spanish Inquisition Ended;x;;
desc_ev_20000374;The era of the inquisitions have ended with the beginning of a new, greater era. We no longer have the need or support the idea of forcing religious teachings on someone.;x;;
ev_20000375;Romanian Language Banned;x;;
desc_ev_20000375;The Romanian language has been banned in the administration and the teaching system of the occupied part of Romania by us, to stop, or at least slow down the separatist tendencies.;x;;
ev_20000376;Mexican Academy of Languages Founded;x;;
desc_ev_20000376;The first higher level facility in the free state of Mexico has been founded, the Academy of Languages. This shall allow us to reach out scientific goals a bit quicker.;x;;
ev_20000377;Railway in Brussels;x;;
desc_ev_20000377;After the first well-working public railroad has been opened in the United Kingdom we chose to follow them by opening a railroad in the area of the city of Brussels.;x;;
ev_20000378;First German Railroad;x;;
desc_ev_20000378;After the initial railroads being built in England and the Low Countries the first railroad has been opened around the area of the city of Nuremberg with the help of English engineers.;x;;
ev_20000379;Texas Declares Independence;x;;
desc_ev_20000379;After all of our South American colonies have declared their independence we thought that the rebellions have passed for good. But apparently not as the state of Texas has also declared independence, seeking aid from the other, succesfully separated states. We shall try everything to retake it.;x;;
ev_20000380;Chesapeake-Leopard Affair;x;;
desc_ev_20000380;Chesapeake-Leopard Affair;x;;
ev_20000381;Little Belt Affair;x;;
desc_ev_20000381;Little Belt Affair;x;;
ev_20000384;War of 1812;x;;
desc_ev_20000384;War of 1812;x;;
ev_20000385;Burn the Capitol;x;;
desc_ev_20000385;Burn the Capitol;x;;
ev_20000386;Baltimore Riots;x;;
desc_ev_20000386;Baltimore Riots;x;;
ev_20000387;Treaty of Gent. USA Wins;x;;
desc_ev_20000387;Treaty of Gent. USA Wins;x;;
ev_20000388;Treaty of Gent. Britain Wins;x;;
desc_ev_20000388;Treaty of Gent. Britain Wins;x;;
ev_21000300;First Barbaryan War;x;;
desc_ev_21000300;First Barbaryan War;x;;
ev_21000301;Russo-Persian War (1803ñ1813);x;;
desc_ev_21000301;Russo-Persian War (1803ñ1813);x;;
ev_21000302;Egyptian Revolution (1804ñ1813);x;;
desc_ev_21000302;Egyptian Revolution (1804ñ1813);x;;
ev_21000303;Russo-Turkish War (1806-1812);x;;
desc_ev_21000303;Russo-Turkish War (1806-1812);x;;
ev_21000304;British Invasions of Rio de la Plata;x;;
desc_ev_21000304;British Invasions of Rio de la Plata;x;;
ev_21000305;EgyptianñWahhabi War;x;;
desc_ev_21000305;EgyptianñWahhabi War;x;;
ev_21000306;Second Serbian Uprising (1815-1813);x;;
desc_ev_21000306;Second Serbian Uprising (1815-1813);x;;
ev_21000307;Second Barbaryan War;x;;
desc_ev_21000307;Second Barbaryan War;x;;
ev_21000308;Colonization of Liberia (1820);x;;
desc_ev_21000308;Colonization of Liberia (1820);x;;
ev_21000309;Spanish Reconquista of Mexico (1821ñ1829);x;;
desc_ev_21000309;Spanish Reconquista of Mexico (1821ñ1829);x;;
ev_21000310;Russo-Persian War (1826ñ1828);x;;
desc_ev_21000310;Russo-Persian War (1826ñ1828);x;;
ev_21000311;Belgian Revolution (1830);x;;
desc_ev_21000311;Belgian Revolution (1830);x;;
ev_21000312;November Uprising (1830);x;;
desc_ev_21000312;November Uprising (1830);x;;
ev_21000313;Egyptian-Ottoman War (1831ñ33);x;;
desc_ev_21000313;Egyptian-Ottoman War (1831ñ33);x;;
ev_21000314;French Conquest of Algeria (1830ñ1847);x;;
desc_ev_21000314;French Conquest of Algeria (1830ñ1847);x;;
;;;;x
